President,Date,Proclamation Name,Link
Franklin D. Roosevelt,"July 4, 1937",Proclamation 2242 - Commemoration of the One Hundred and Fiftieth Anniversary of the Constitution,http://www.presidency.ucsb.edu/ws/index.php?pid=15429
Franklin D. Roosevelt,"October 12, 1937",Proclamation 2256 - Calling Congress Into Extraordinary Session,http://www.presidency.ucsb.edu/ws/index.php?pid=15482
Franklin D. Roosevelt,"November 9, 1937",Proclamation 2260 - Thanksgiving Day,http://www.presidency.ucsb.edu/ws/index.php?pid=15497
Franklin D. Roosevelt,"March 21, 1938",Proclamation 2276 - Birthday of Thomas Jefferson,http://www.presidency.ucsb.edu/ws/index.php?pid=15611
Franklin D. Roosevelt,"April 28, 1938",Proclamation 2282 - Revoking Proclamation 2092 on the Coinage of Silver,http://www.presidency.ucsb.edu/ws/index.php?pid=15635
Franklin D. Roosevelt,"October 31, 1938",Proclamation 2309 - Reducing Postage Rates on Books,http://www.presidency.ucsb.edu/ws/index.php?pid=15563
Franklin D. Roosevelt,"November 19, 1938",Proclamation 2310 - Thanksgiving Day,http://www.presidency.ucsb.edu/ws/index.php?pid=15575
Franklin D. Roosevelt,"April 26, 1939",Proclamation 2331 - Employment Week and Employment Sunday,http://www.presidency.ucsb.edu/ws/index.php?pid=15750
Franklin D. Roosevelt,"June 29, 1939",Proclamation 2339 - Excluding Certain Lands from the Beaverhead National Forest and Adding Them and Other Lands to the Big Hole Battlefield National Monument,http://www.presidency.ucsb.edu/ws/index.php?pid=76671
Franklin D. Roosevelt,"September 5, 1939",Proclamation 2348 - Neutrality of the United States,http://www.presidency.ucsb.edu/ws/index.php?pid=15802
Franklin D. Roosevelt,"September 5, 1939",Proclamation 2349 - Prohibiting the Export of Arms and Munitions to Belligerent Powers,http://www.presidency.ucsb.edu/ws/index.php?pid=15803
Franklin D. Roosevelt,"September 8, 1939","Proclamation 2352 - Proclaiming a National Emergency in Connection with the Observance, Safeguarding, and Enforcement of Neutrality and the Strengthening of the National Defense Within the Limits of Peace-Time Authorizations",http://www.presidency.ucsb.edu/ws/index.php?pid=15806
Franklin D. Roosevelt,"September 11, 1939",Proclamation 2361 - Suspending Marketing Limitations on Sugar,http://www.presidency.ucsb.edu/ws/index.php?pid=15809
Franklin D. Roosevelt,"September 13, 1939",Proclamation 2365 - Calling Congress into Extraordinary Session,http://www.presidency.ucsb.edu/ws/index.php?pid=15810
Franklin D. Roosevelt,"October 18, 1939",Proclamation 2371 - Restricting the Use of Territorial Waters of the United States by Foreign Submarines,http://www.presidency.ucsb.edu/ws/index.php?pid=15827
Franklin D. Roosevelt,"October 31, 1939",Proclamation 2373 - Thanksgiving Day,http://www.presidency.ucsb.edu/ws/index.php?pid=15829
Franklin D. Roosevelt,"November 4, 1939",Proclamation 2374 - Neutrality,http://www.presidency.ucsb.edu/ws/index.php?pid=15831
Franklin D. Roosevelt,"November 4, 1939",Proclamation 2376 - Defining Combat Areas Under the New Neutrality Act of 1939,http://www.presidency.ucsb.edu/ws/index.php?pid=15832
Franklin D. Roosevelt,"December 26, 1939",Proclamation 2378 - Suspending the Marketing Quota Provisions of the Sugar Act of 1937,http://www.presidency.ucsb.edu/ws/index.php?pid=15855
Franklin D. Roosevelt,"April 10, 1940",Proclamation 2394 - Defining Combat Areas,http://www.presidency.ucsb.edu/ws/index.php?pid=15930
Franklin D. Roosevelt,"April 25, 1940",Proclamation 2399 - Neutrality of the United States in the War Between Germany and Norway,http://www.presidency.ucsb.edu/ws/index.php?pid=15941
Franklin D. Roosevelt,"May 11, 1940","Proclamation 2405 - U.S. Neutrality in the War Between Germany and Belgium, Luxemburg, and the Netherlands",http://www.presidency.ucsb.edu/ws/index.php?pid=15949
Franklin D. Roosevelt,"June 10, 1940",Proclamation 2408 - Neutrality of the United States,http://www.presidency.ucsb.edu/ws/index.php?pid=15963
Franklin D. Roosevelt,"July 2, 1940",Proclamation 2413 - Prohibiting Unlicensed Export of War Materials and Strategic Raw Products,http://www.presidency.ucsb.edu/ws/index.php?pid=15975
Franklin D. Roosevelt,"August 7, 1940",Proclamation 2418 - Day of Prayer,http://www.presidency.ucsb.edu/ws/index.php?pid=15987
Franklin D. Roosevelt,"September 16, 1940",Proclamation 2425 - Selective Service Registration,http://www.presidency.ucsb.edu/ws/index.php?pid=15858
Franklin D. Roosevelt,"November 9, 1940",Proclamation 2441 - Thanksgiving Day,http://www.presidency.ucsb.edu/ws/index.php?pid=15897
Franklin D. Roosevelt,"November 15, 1940",Proclamation 2444 - Neutrality of the United States in the War Between Italy and Greece,http://www.presidency.ucsb.edu/ws/index.php?pid=15903
Franklin D. Roosevelt,"January 22, 1941",Proclamation 2454 - Excluding Lands from the Wupatki National Monument and Reserving Them for Irrigation Purposes,http://www.presidency.ucsb.edu/ws/index.php?pid=76353
Franklin D. Roosevelt,"May 27, 1941","Proclamation 2487 - Proclaiming That an Unlimited National Emergency Confronts This Country, Which Requires That Its Military, Naval, Air and Civilian Defenses Be Put on the Basis of Readiness to Repel Any and All Acts or Threats of Aggression Directed Toward Any Part of the Western Hemisphere",http://www.presidency.ucsb.edu/ws/index.php?pid=16121
Franklin D. Roosevelt,"June 13, 1941",Proclamation 2493 - Setting Aside Certain Lands for National Monument Purposes to be Administered as Part of the Ocmulgee National Monument,http://www.presidency.ucsb.edu/ws/index.php?pid=76665
Franklin D. Roosevelt,"July 17, 1941","Proclamation 2497 - Blacklisting 1,800 Latin American Firms for Aiding Germany or Italy",http://www.presidency.ucsb.edu/ws/index.php?pid=16144
Franklin D. Roosevelt,"November 8, 1941",Proclamation 2522 - Thanksgiving Day,http://www.presidency.ucsb.edu/ws/index.php?pid=16039
Franklin D. Roosevelt,"November 27, 1941",Proclamation 2524 - Bill of Rights Day,http://www.presidency.ucsb.edu/ws/index.php?pid=16046
Franklin D. Roosevelt,"March 20, 1942",Proclamation 2542  - Proclaiming April 6 as Army Day,http://www.presidency.ucsb.edu/ws/index.php?pid=16240
Franklin D. Roosevelt,"July 2, 1942",Proclamation 2561 - Denying Certain Enemies Access to the Courts,http://www.presidency.ucsb.edu/ws/index.php?pid=16281
Franklin D. Roosevelt,"November 26, 1942",Proclamation 2571 - Thanksgiving Day,http://www.presidency.ucsb.edu/ws/index.php?pid=16208
Franklin D. Roosevelt,"June 21, 1943",Proclamation 2588 - Directing Detroit Race Rioters to Disperse,http://www.presidency.ucsb.edu/ws/index.php?pid=16414
Franklin D. Roosevelt,"November 11, 1943","Proclamation 2600 - Thanksgiving Day, 1943",http://www.presidency.ucsb.edu/ws/index.php?pid=72459
Franklin D. Roosevelt,"November 1, 1944","Proclamation 2629 - Thanksgiving Day, 1944",http://www.presidency.ucsb.edu/ws/index.php?pid=72460
Harry S. Truman,"April 13, 1945",Proclamation 2648 - Announcing the Death of Franklin Delano Roosevelt,http://www.presidency.ucsb.edu/ws/index.php?pid=87027
Harry S. Truman,"April 17, 1945","Proclamation 2649 - Mother's Day, 1945",http://www.presidency.ucsb.edu/ws/index.php?pid=87028
Harry S. Truman,"May 5, 1945",Proclamation 2650 - National Rehabilitation Week,http://www.presidency.ucsb.edu/ws/index.php?pid=87029
Harry S. Truman,"May 8, 1945",Proclamation 2651 - Victory in Europe: Day of Prayer,http://www.presidency.ucsb.edu/ws/index.php?pid=87030
Harry S. Truman,"May 9, 1945","Proclamation 2652 - National Farm-Safety Week, 1945",http://www.presidency.ucsb.edu/ws/index.php?pid=87031
Harry S. Truman,"May 16, 1945","Proclamation 2653 - Emergency Board, Colorado & Wyoming Railway Company--Employees",http://www.presidency.ucsb.edu/ws/index.php?pid=87032
Harry S. Truman,"May 28, 1945","Proclamation 2654 - Flag Day, 1945",http://www.presidency.ucsb.edu/ws/index.php?pid=87033
Harry S. Truman,"July 14, 1945",Proclamation 2655 - Removal of Alien Enemies,http://www.presidency.ucsb.edu/ws/index.php?pid=87034
Harry S. Truman,"July 20, 1945",Proclamation 2656 - Air Force Day,http://www.presidency.ucsb.edu/ws/index.php?pid=87035
Harry S. Truman,"July 20, 1945",Proclamation 2657 - National Defense Pipe Line the Texas-Empire Pipe Line Company,http://www.presidency.ucsb.edu/ws/index.php?pid=87036
Harry S. Truman,"July 31, 1945",Proclamation 2658 - Regulations Relating to Migratory Birds and Certain Game Mammals,http://www.presidency.ucsb.edu/ws/index.php?pid=87037
Harry S. Truman,"August 13, 1945",Proclamation 2659 - Eliminating Certain Lands From the Santa Rosa Island National Monument and Reserving Them for the Use of the War Department for Military Purposes,http://www.presidency.ucsb.edu/ws/index.php?pid=87038
Harry S. Truman,"August 16, 1945",Proclamation 2660 - Victory in the East--Day of Prayer,http://www.presidency.ucsb.edu/ws/index.php?pid=12388
Harry S. Truman,"August 22, 1945","Proclamation 2661 - Fire Prevention Week, 1945",http://www.presidency.ucsb.edu/ws/index.php?pid=87039
Harry S. Truman,"September 8, 1945",Proclamation 2662 - Removal of Alien Enemies,http://www.presidency.ucsb.edu/ws/index.php?pid=87040
Harry S. Truman,"September 11, 1945","Proclamation 2663 - Discontinuing the Casco Bay, Portsmouth, New Hampshire, Boston, Cape Hatteras, and Key West Maritime Control Areas",http://www.presidency.ucsb.edu/ws/index.php?pid=87041
Harry S. Truman,"September 21, 1945","Proclamation 2664 - National Employ the Physically Handicapped Week, 1945",http://www.presidency.ucsb.edu/ws/index.php?pid=87042
Harry S. Truman,"September 28, 1945",Proclamation 2667 - Policy of the United States With Respect to the Natural Resources of the Subsoil and Sea Bed of the Continental Shelf,http://www.presidency.ucsb.edu/ws/index.php?pid=12332
Harry S. Truman,"September 28, 1945",Proclamation 2668 - Policy of the United States with Respect to Coastal Fisheries in Certain Areas of the High Seas,http://www.presidency.ucsb.edu/ws/index.php?pid=58816
Harry S. Truman,"September 28, 1945","Proclamation 2665 - Columbus Day, 1945",http://www.presidency.ucsb.edu/ws/index.php?pid=87043
Harry S. Truman,"September 28, 1945",Proclamation 2666 - Immigration Quotas for Austria and Germany,http://www.presidency.ucsb.edu/ws/index.php?pid=87044
Harry S. Truman,"September 29, 1945",Proclamation 2669 - End of the Emergency Period Defined in Section 124 of the Internal Revenue Code,http://www.presidency.ucsb.edu/ws/index.php?pid=87045
Harry S. Truman,"October 11, 1945",Proclamation 2670 - General Pulaski's Memorial Day,http://www.presidency.ucsb.edu/ws/index.php?pid=87046
Harry S. Truman,"October 31, 1945",Proclamation 2671 - Woman's Enfranchisement Day,http://www.presidency.ucsb.edu/ws/index.php?pid=87047
Harry S. Truman,"November 5, 1945","Proclamation 2672 - Armistice Day, 1945",http://www.presidency.ucsb.edu/ws/index.php?pid=87048
Harry S. Truman,"November 12, 1945","Proclamation 2673 - Thanksgiving Day, 1945",http://www.presidency.ucsb.edu/ws/index.php?pid=72461
Harry S. Truman,"December 7, 1945",Proclamation 2674 - Revoking Certain Regulations Relating to the Control of Alien Enemies,http://www.presidency.ucsb.edu/ws/index.php?pid=87049
Harry S. Truman,"December 21, 1945",Proclamation 2675 - Revocation of the Proclamation Suspending the International Load Lines Convention in Ports and Waters of the United States,http://www.presidency.ucsb.edu/ws/index.php?pid=87050
Harry S. Truman,"December 24, 1945",Proclamation 2676 - Granting Pardon to Certain Persons Who Have Served in the Armed Forces of the United States,http://www.presidency.ucsb.edu/ws/index.php?pid=58815
Harry S. Truman,"December 28, 1945",Proclamation 2677 - George Washington Carver Day,http://www.presidency.ucsb.edu/ws/index.php?pid=87051
Harry S. Truman,"December 29, 1945","Proclamation 2678 - Revoking Proclamation No. 2537 of January 14, 1942, Prescribing Regulations Relating to the Control of Alien Enemies",http://www.presidency.ucsb.edu/ws/index.php?pid=87052
Harry S. Truman,"February 14, 1946","Proclamation 2679 - Red Cross Month, 1946",http://www.presidency.ucsb.edu/ws/index.php?pid=87053
Harry S. Truman,"March 12, 1946","Proclamation 2680 - ""I Am an American Day,"" 1946",http://www.presidency.ucsb.edu/ws/index.php?pid=87054
Harry S. Truman,"March 12, 1946","Proclamation 2681 - Redefining the Area of Great Sand Dunes National Monument, Colorado",http://www.presidency.ucsb.edu/ws/index.php?pid=87055
Harry S. Truman,"March 20, 1946","Proclamation 2682 - Army Day, 1946",http://www.presidency.ucsb.edu/ws/index.php?pid=87056
Harry S. Truman,"March 25, 1946","Proclamation 2683 - Cancer Control Month, 1946",http://www.presidency.ucsb.edu/ws/index.php?pid=87057
Harry S. Truman,"March 28, 1946",Proclamation 2684 - Pan American Week,http://www.presidency.ucsb.edu/ws/index.php?pid=87058
Harry S. Truman,"April 10, 1946",Proclamation 2685 - Removal of Alien Enemies,http://www.presidency.ucsb.edu/ws/index.php?pid=58814
Harry S. Truman,"April 13, 1946","Proclamation 2686 - Child Health Day, 1946",http://www.presidency.ucsb.edu/ws/index.php?pid=87059
Harry S. Truman,"April 13, 1946","Proclamation 2687 - National Maritime Day, 1946",http://www.presidency.ucsb.edu/ws/index.php?pid=87060
Harry S. Truman,"April 24, 1946",Proclamation 2688 - Death of Harlan Fiske Stone,http://www.presidency.ucsb.edu/ws/index.php?pid=12638
Harry S. Truman,"April 27, 1946",Proclamation 2689 - Mother's Day 1946,http://www.presidency.ucsb.edu/ws/index.php?pid=87061
Harry S. Truman,"April 27, 1946","Proclamation 2690 - National Farm Safety Week, 1946",http://www.presidency.ucsb.edu/ws/index.php?pid=87062
Harry S. Truman,"May 8, 1946","Proclamation 2691 - Discontinuing the Hawaiian, Cristobal, Gulf of Panama, San Francisco, Columbia River, Puget Sound, Southeastern Alaska, Prince William Sound, Kodiak, Unalaska, Los Angeles and San Diego Maritime Control Areas",http://www.presidency.ucsb.edu/ws/index.php?pid=87063
Harry S. Truman,"May 29, 1946","Proclamation 2692 - Flag Day, 1946",http://www.presidency.ucsb.edu/ws/index.php?pid=87064
Harry S. Truman,"June 27, 1946",Proclamation 2693 - Suspension of Additional Processing Tax on Certain Coconut Oil,http://www.presidency.ucsb.edu/ws/index.php?pid=87065
Harry S. Truman,"July 3, 1946",Proclamation 2694 - Designating Properties Suitable for Diplomatic and Consular Establishments of the United States in the Philippine Islands,http://www.presidency.ucsb.edu/ws/index.php?pid=87066
Harry S. Truman,"July 4, 1946",Proclamation 2695 - Independence of the Philippines,http://www.presidency.ucsb.edu/ws/index.php?pid=58813
Harry S. Truman,"July 4, 1946",Proclamation 2696 - Immigration Quota for Philippine Islands,http://www.presidency.ucsb.edu/ws/index.php?pid=87067
Harry S. Truman,"July 12, 1946",Proclamation 2697 - Army Air Force Day - 1946,http://www.presidency.ucsb.edu/ws/index.php?pid=87068
Harry S. Truman,"August 2, 1946",Proclamation 2698 - Victory Day - 1946,http://www.presidency.ucsb.edu/ws/index.php?pid=87069
Harry S. Truman,"August 8, 1946",Proclamation 2699 - Amendments of Regulations Relating to Migratory Birds and Game Mammals,http://www.presidency.ucsb.edu/ws/index.php?pid=87070
Harry S. Truman,"September 3, 1946","Proclamation 2700 - Fire Prevention Week, 1946",http://www.presidency.ucsb.edu/ws/index.php?pid=87071
Harry S. Truman,"September 6, 1946",Proclamation 2701 - One Hundred and Fiftieth Anniversary of Washington's Farewell Address,http://www.presidency.ucsb.edu/ws/index.php?pid=87072
Harry S. Truman,"September 9, 1946","Proclamation 2702 - Enlarging the Deschutes National Forest, Oregon",http://www.presidency.ucsb.edu/ws/index.php?pid=87073
Harry S. Truman,"September 12, 1946","Proclamation 2703 - National Employ the Physically Handicapped Week, 1946",http://www.presidency.ucsb.edu/ws/index.php?pid=87074
Harry S. Truman,"September 25, 1946","Proclamation 2704 - General Pulaski's Memorial Day, 1946",http://www.presidency.ucsb.edu/ws/index.php?pid=87075
Harry S. Truman,"September 25, 1946","Proclamation 2705 - Columbus Day, 1946",http://www.presidency.ucsb.edu/ws/index.php?pid=87076
Harry S. Truman,"October 17, 1946",Proclamation 2706 - United Nations Education Day,http://www.presidency.ucsb.edu/ws/index.php?pid=87077
Harry S. Truman,"October 19, 1946",Proclamation 2707 - National Air Mail Week,http://www.presidency.ucsb.edu/ws/index.php?pid=87078
Harry S. Truman,"October 25, 1946","Proclamation 2708 - Emergency Due to Housing Shortage-Free Importation of Timber, Lumber, and Lumber Products",http://www.presidency.ucsb.edu/ws/index.php?pid=87079
Harry S. Truman,"October 28, 1946","Proclamation 2709 - Thanksgiving Day, 1946",http://www.presidency.ucsb.edu/ws/index.php?pid=72462
Harry S. Truman,"October 28, 1946","Proclamation 2710 - Armistice Day, 1946",http://www.presidency.ucsb.edu/ws/index.php?pid=87080
Harry S. Truman,"October 30, 1946","Proclamation 2711 - Dedication Day, 1946",http://www.presidency.ucsb.edu/ws/index.php?pid=87081
Harry S. Truman,"December 3, 1946","Proclamation 2712 - Amending Proclamation No. 2599 of November 4, 1943, Entitled ""Merchandise in General-Order and Bonded Warehouses""",http://www.presidency.ucsb.edu/ws/index.php?pid=87082
Harry S. Truman,"December 9, 1946","Proclamation 2713 - Bill of Rights Day, 1946",http://www.presidency.ucsb.edu/ws/index.php?pid=87083
Harry S. Truman,"December 31, 1946",Proclamation 2714 - Cessation of Hostilities of World War II,http://www.presidency.ucsb.edu/ws/index.php?pid=12571
Harry S. Truman,"February 1, 1947",Proclamation 2715 - Imposing Quota on Imports of Short Harsh or Rough Cotton,http://www.presidency.ucsb.edu/ws/index.php?pid=87084
Harry S. Truman,"February 12, 1947","Proclamation 2716 - Red Cross Month, 1947",http://www.presidency.ucsb.edu/ws/index.php?pid=87085
Harry S. Truman,"February 14, 1947","Proclamation 2717 - Enumeration of Arms, Ammunition, and Implements of War",http://www.presidency.ucsb.edu/ws/index.php?pid=87086
Harry S. Truman,"March 1, 1947","Proclamation 2718 - ""I Am an American Day"", 1947",http://www.presidency.ucsb.edu/ws/index.php?pid=87087
Harry S. Truman,"March 7, 1947","Proclamation 2719 - Army Day and Army Week, 1947",http://www.presidency.ucsb.edu/ws/index.php?pid=87088
Harry S. Truman,"March 17, 1947","Proclamation 2720 - Pan American Week, 1947",http://www.presidency.ucsb.edu/ws/index.php?pid=87089
Harry S. Truman,"March 21, 1947","Proclamation 2721 - Cancer Control Month, 1947",http://www.presidency.ucsb.edu/ws/index.php?pid=87090
Harry S. Truman,"March 27, 1947",Proclamation 2722 - Copyright Extension: France,http://www.presidency.ucsb.edu/ws/index.php?pid=87091
Harry S. Truman,"April 2, 1947","Proclamation 2723 - National Farm Safety Week, 1947",http://www.presidency.ucsb.edu/ws/index.php?pid=87092
Harry S. Truman,"April 4, 1947","Proclamation 2724 - Closed Area Under the Migratory Bird Treaty Act, Florida",http://www.presidency.ucsb.edu/ws/index.php?pid=87093
Harry S. Truman,"April 7, 1947","Proclamation 2725 - Amending the Proclamations of March 6 and March 9, 1933, and the Executive Order of March 10, 1933, to Exclude from Their Scope Member Banks of the Federal Reserve System",http://www.presidency.ucsb.edu/ws/index.php?pid=87094
Harry S. Truman,"April 8, 1947","Proclamation 2726 - Child Health Day, 1947",http://www.presidency.ucsb.edu/ws/index.php?pid=87095
Harry S. Truman,"April 11, 1947","Proclamation 2727 - Mother's Day, 1947",http://www.presidency.ucsb.edu/ws/index.php?pid=87096
Harry S. Truman,"April 11, 1947","Proclamation 2728 - National Maritime Day, 1947",http://www.presidency.ucsb.edu/ws/index.php?pid=87097
Harry S. Truman,"April 24, 1947",Proclamation 2729 - Copyright Extension: New Zealand,http://www.presidency.ucsb.edu/ws/index.php?pid=87098
Harry S. Truman,"May 1, 1947",Proclamation 2730 - Amendment of Regulation Relating to Migratory Birds and Game Mammals,http://www.presidency.ucsb.edu/ws/index.php?pid=87099
Harry S. Truman,"May 27, 1947","Proclamation 2731 - Flag Day, 1947",http://www.presidency.ucsb.edu/ws/index.php?pid=87100
Harry S. Truman,"May 31, 1947","Proclamation 2732 - Revocation of Proclamation No. 2412, Relating to the Control of Vessels in Territorial Waters of the United States",http://www.presidency.ucsb.edu/ws/index.php?pid=87101
Harry S. Truman,"June 3, 1947",Proclamation 2733 - Six Rivers National Forest - California,http://www.presidency.ucsb.edu/ws/index.php?pid=87102
Harry S. Truman,"June 9, 1947",Proclamation 2734 - Supplemental Quota on Imports of Extra Long-Staple Cotton,http://www.presidency.ucsb.edu/ws/index.php?pid=87103
Harry S. Truman,"June 28, 1947","Proclamation 2735 - Free Importation of Timber, Lumber, and Lumber Products",http://www.presidency.ucsb.edu/ws/index.php?pid=87104
Harry S. Truman,"July 2, 1947","Proclamation 2736 - John Paul Jones Bicentennial Day, 1947",http://www.presidency.ucsb.edu/ws/index.php?pid=87105
Harry S. Truman,"July 10, 1947","Proclamation 2737 - Air Force Day, 1947",http://www.presidency.ucsb.edu/ws/index.php?pid=87106
Harry S. Truman,"July 31, 1947",Proclamation 2738 - Determining the Drug Amidone to Be An Opiate,http://www.presidency.ucsb.edu/ws/index.php?pid=87107
Harry S. Truman,"July 31, 1947",Proclamation 2739 - Amendments of Regulations Relating to Migratory Birds and Game Mammals,http://www.presidency.ucsb.edu/ws/index.php?pid=87108
Harry S. Truman,"August 6, 1947",Proclamation 2740 - Extension of Time for Renewing Trademark Registrations: Switzerland,http://www.presidency.ucsb.edu/ws/index.php?pid=87109
Harry S. Truman,"August 6, 1947",Proclamation 2741 - Extension of Time for Renewing Trademark Registrations: United Kingdom of Great Britain and Northern Ireland,http://www.presidency.ucsb.edu/ws/index.php?pid=87110
Harry S. Truman,"August 14, 1947","Proclamation 2742 - Fire Prevention Week, 1947",http://www.presidency.ucsb.edu/ws/index.php?pid=87111
Harry S. Truman,"August 15, 1947","Proclamation 2743 - National Guard Day, 1947",http://www.presidency.ucsb.edu/ws/index.php?pid=87112
Harry S. Truman,"August 21, 1947",Proclamation 2744 - Amendment of Regulations Relating to Migratory Birds and Game Mammals,http://www.presidency.ucsb.edu/ws/index.php?pid=87113
Harry S. Truman,"August 27, 1947","Proclamation 2745 - National Employ the Physically Handicapped Week, 1947",http://www.presidency.ucsb.edu/ws/index.php?pid=87114
Harry S. Truman,"September 20, 1947",Proclamation 2746 - Palestine: Suspension of Tonnage Duties,http://www.presidency.ucsb.edu/ws/index.php?pid=87115
Harry S. Truman,"September 27, 1947",Proclamation 2747 - Amendments of Regulations Relating to Migratory Birds and Game Mammals,http://www.presidency.ucsb.edu/ws/index.php?pid=87116
Harry S. Truman,"October 1, 1947","Proclamation 2748 - Closed Area Under the Migratory Bird Treaty Act, Illinois",http://www.presidency.ucsb.edu/ws/index.php?pid=87117
Harry S. Truman,"October 6, 1947","Proclamation 2749 - Columbus Day, 1947",http://www.presidency.ucsb.edu/ws/index.php?pid=87118
Harry S. Truman,"October 8, 1947","Proclamation 2750 - General Pulaski's Memorial Day, 1947",http://www.presidency.ucsb.edu/ws/index.php?pid=87119
Harry S. Truman,"October 23, 1947",Proclamation 2751 - Convening the Congress,http://www.presidency.ucsb.edu/ws/index.php?pid=87120
Harry S. Truman,"October 28, 1947",Proclamation 2752 - Amendment of Regulations Relating to Migratory Birds and Game Mammals,http://www.presidency.ucsb.edu/ws/index.php?pid=87121
Harry S. Truman,"October 29, 1947","Proclamation 2753 - Armistice Day, 1947",http://www.presidency.ucsb.edu/ws/index.php?pid=87122
Harry S. Truman,"November 10, 1947","Proclamation 2756 - Thanksgiving Day, 1947",http://www.presidency.ucsb.edu/ws/index.php?pid=72463
Harry S. Truman,"November 10, 1947",Proclamation 2754 - Extension of Time for Renewing Trade-Mark Registrations: France,http://www.presidency.ucsb.edu/ws/index.php?pid=87123
Harry S. Truman,"November 10, 1947",Proclamation 2755 - Extension of Time for Renewing Trademark Registrations: The Netherlands,http://www.presidency.ucsb.edu/ws/index.php?pid=87124
Harry S. Truman,"November 28, 1947",Proclamation 2757 - Terminating the Suspension of Title II of the Sugar Act of 1937,http://www.presidency.ucsb.edu/ws/index.php?pid=87125
Harry S. Truman,"December 2, 1947",Proclamation 2758 - Closed Area Under the Migratory Bird Treaty Act: Florida,http://www.presidency.ucsb.edu/ws/index.php?pid=87126
Harry S. Truman,"December 5, 1947",Proclamation 2759 - Extension of Time for Renewing Trademark Registrations: Finland,http://www.presidency.ucsb.edu/ws/index.php?pid=87127
Harry S. Truman,"December 9, 1947","Proclamation 2760 - Extending the Period for the Establishment of Adequate Shipping Service for, and Deferring Extension of the Coastwise Laws to, Canton Island",http://www.presidency.ucsb.edu/ws/index.php?pid=87128
Harry S. Truman,"December 10, 1947","Proclamation 2761 - Bill of Rights Day, 1947",http://www.presidency.ucsb.edu/ws/index.php?pid=87130
Harry S. Truman,"December 16, 1947","Proclamation 2761A - Carrying Out General Agreement on Tariffs and Trade Concluded at Geneva, October 30, 1947",http://www.presidency.ucsb.edu/ws/index.php?pid=87129
Harry S. Truman,"December 23, 1947",Proclamation 2762 - Granting Pardon to Certain Persons Convicted of Violating the Selective Training and Service Act of 1940 as Amended,http://www.presidency.ucsb.edu/ws/index.php?pid=58812
Harry S. Truman,"December 24, 1947",Proclamation 2763 - Termination of Trade Agreement Proclamations,http://www.presidency.ucsb.edu/ws/index.php?pid=87131
Harry S. Truman,"January 1, 1948","Proclamation 2764 - Carrying Out Exclusive Trade Agreement with Cuba of October 30, 1947",http://www.presidency.ucsb.edu/ws/index.php?pid=87132
Harry S. Truman,"January 6, 1948",Proclamation 2765 - Extension of Time for Renewing Trademark Registrations: Norway,http://www.presidency.ucsb.edu/ws/index.php?pid=87133
Harry S. Truman,"January 21, 1948",Proclamation 2766 - Extension of Time for Renewing Trademark Registrations: Luxembourg,http://www.presidency.ucsb.edu/ws/index.php?pid=87134
Harry S. Truman,"January 27, 1948",Proclamation 2767 - Prevention and Control of Juvenile Delinquency,http://www.presidency.ucsb.edu/ws/index.php?pid=87135
Harry S. Truman,"January 30, 1948",Proclamation 2768 - Extension of Time for Renewing Trademark Registrations: Denmark,http://www.presidency.ucsb.edu/ws/index.php?pid=87136
Harry S. Truman,"January 30, 1948","Proclamation 2769 - Supplementing Proclamations of December 16, 1947 and January 1, 1948, Carrying Out General Agreement on Tariffs and Trade and Exclusive Trade Agreement with Cuba, Respectively",http://www.presidency.ucsb.edu/ws/index.php?pid=87137
Harry S. Truman,"February 18, 1948","Proclamation 2770 - Red Cross Month, 1948",http://www.presidency.ucsb.edu/ws/index.php?pid=87138
Harry S. Truman,"March 20, 1948","Proclamation 2771 - Army Day, 1948",http://www.presidency.ucsb.edu/ws/index.php?pid=87139
Harry S. Truman,"March 20, 1948","Proclamation 2772 - Pan American Week, 1948",http://www.presidency.ucsb.edu/ws/index.php?pid=87140
Harry S. Truman,"March 24, 1948","Proclamation 2773 - Enlarging the Fort Matanzas National Monument, Florida",http://www.presidency.ucsb.edu/ws/index.php?pid=87141
Harry S. Truman,"March 25, 1948","Proclamation 2774 - Cancer Control Month, 1948",http://www.presidency.ucsb.edu/ws/index.php?pid=87142
Harry S. Truman,"March 26, 1948",Proclamation 2775 - Panama Canal Toll Rates,http://www.presidency.ucsb.edu/ws/index.php?pid=87143
Harry S. Truman,"March 26, 1948","Proclamation 2776 - Enumeration of Arms, Ammunition, and Implements of War",http://www.presidency.ucsb.edu/ws/index.php?pid=87144
Harry S. Truman,"March 30, 1948","Proclamation 2777 - ""I Am an American Day,"" 1948",http://www.presidency.ucsb.edu/ws/index.php?pid=87145
Harry S. Truman,"April 16, 1948","Proclamation 2778 - Child Health Day, 1948",http://www.presidency.ucsb.edu/ws/index.php?pid=87146
Harry S. Truman,"April 16, 1948","Proclamation 2779 - National Farm Safety Week, 1948",http://www.presidency.ucsb.edu/ws/index.php?pid=87147
Harry S. Truman,"April 20, 1948","Proclamation 2780 - Mother's Day, 1948",http://www.presidency.ucsb.edu/ws/index.php?pid=87148
Harry S. Truman,"April 22, 1948","Proclamation 2781 - National Maritime Day, 1948",http://www.presidency.ucsb.edu/ws/index.php?pid=87149
